Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Pendurthi,31,PANCHAKARLA RAMESH BABU,Janasena Partyi,ANNAMREDDY ADEEP RAJ,"Yuvajana Sramika Rythu Congress Party
i",81870,22/22,Result Declared
Penukonda,158,S. SAVITHA,Telugu Desami,K.V. USHA SHRICHARAN,"Yuvajana Sramika Rythu Congress Party
i",33388,19/19,Result Declared
Pileru,163,NALLARI KISHAN KUMAR REDDY,Telugu Desami,CHINTHALA RAMACHANDRA REDDY,"Yuvajana Sramika Rythu Congress Party
i",25081,21/21,Result Declared
Pithapuram,37,KONIDALA PAWAN KALYAN,Janasena Partyi,VANGA GEETHA VISWANATH,"Yuvajana Sramika Rythu Congress Party
i",70279,18/18,Result Declared
Polavaram,67,CHIRRI BALARAJU,Janasena Partyi,TELLAM RAJYA LAKSHMI,"Yuvajana Sramika Rythu Congress Party
i",7935,21/21,Result Declared
Ponnur,88,DHULIPALLA NARENDRA KUMAR,Telugu Desami,AMBATI MURALI KRISHNA,"Yuvajana Sramika Rythu Congress Party
i",32915,19/19,Result Declared
Prathipadu,36,VARUPULA SATYA PRABHA,Telugu Desami,VARUPULA SUBBARAO,"Yuvajana Sramika Rythu Congress Party
i",38768,17/17,Result Declared
Prathipadu (SC),93,BURLA RAMANJANEYULU,Telugu Desami,BALASANI KIRAN KUMAR,"Yuvajana Sramika Rythu Congress Party
i",42015,22/22,Result Declared
Proddatur,132,NANDYALA VARADA RAJULA REDDY,Telugu Desami,RACHAMALLU SIVA PRASAD REDDY,"Yuvajana Sramika Rythu Congress Party
i",22744,20/20,Result Declared
Pulivendla,129,YS JAGAN MOHAN REDDY,Yuvajana Sramika Rythu Congress Partyi,B.TECH RAVI,"Telugu Desam
i",61687,23/23,Result Declared
Punganur,165,PEDDIREDDI RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Partyi,CHALLA RAMACHANDRA REDDY,"Telugu Desam
i",6095,19/19,Result Declared
Puthalapattu (SC),173,K MURALI MOHAN,Telugu Desami,M SUNEEL KUMAR,"Yuvajana Sramika Rythu Congress Party
i",15634,20/20,Result Declared
Puttaparthi,159,PALLE SINDHURA REDDY,Telugu Desami,DUDDUKUNTA SREEDHAR REDDY,"Yuvajana Sramika Rythu Congress Party
i",8760,18/18,Result Declared
Rajahmundry City,50,ADIREDDY SRINIVAS,Telugu Desami,MARGANI BHARAT RAM,"Yuvajana Sramika Rythu Congress Party
i",71404,18/18,Result Declared
Rajahmundry Rural,51,GORANTLA BUTCHAIAH CHOUDARY,Telugu Desami,GOPALAKRISHNA CHELLUBOYINA(VENU),"Yuvajana Sramika Rythu Congress Party
i",64090,20/20,Result Declared
Rajam,9,KONDRU MURALI MOHAN,Telugu Desami,DR. TALE RAJESH,"Yuvajana Sramika Rythu Congress Party
i",20722,21/21,Result Declared
Rajampet,125,AKEPATI AMARNATH REDDY,Yuvajana Sramika Rythu Congress Partyi,BALA SUBRAMANYAM SUGAVASI,"Telugu Desam
i",7016,21/21,Result Declared
Rajanagaram,49,BATHULA BALARAMAKRISHNA S/O GANGARAO,Janasena Partyi,JAKKAMPUDI RAJA,"Yuvajana Sramika Rythu Congress Party
i",34049,16/16,Result Declared
Ramachandrapuram,42,VASAMSETTI. SUBASH,Telugu Desami,PILLI SURYA PRAKASH,"Yuvajana Sramika Rythu Congress Party
i",26291,25/25,Result Declared
Rampachodavaram,53,MIRIYALA SIRISHA DEVI,Telugu Desami,NAGULAPALLI DHANALAKSHMI,"Yuvajana Sramika Rythu Congress Party
i",9139,20/20,Result Declared
Raptadu,155,PARITALA SUNITHAMMA,Telugu Desami,THOPUDURTHI PRAKASH REDDY,"Yuvajana Sramika Rythu Congress Party
i",23329,21/21,Result Declared
Rayachoti,128,MANDIPALLI RAMPRASAD REDDY,Telugu Desami,GADIKOTA SRIKANTH REDDY,"Yuvajana Sramika Rythu Congress Party
i",2495,21/21,Result Declared
Rayadurg,148,KALAVA SRINIVASULU,Telugu Desami,METTU GOVINDA REDDY,"Yuvajana Sramika Rythu Congress Party
i",41659,22/22,Result Declared
Razole,45,DEVA VARAPRASAD,Janasena Partyi,GOLLAPALLI SURYA RAO,"Yuvajana Sramika Rythu Congress Party
i",39011,16/16,Result Declared
Repalle,90,ANAGANI SATYA PRASAD,Telugu Desami,EVURU GANESH,"Yuvajana Sramika Rythu Congress Party
i",39947,19/19,Result Declared
Salur,13,GUMMIDI SANDHYARANI,Telugu Desami,RAJANNA DORA PEEDIKA,"Yuvajana Sramika Rythu Congress Party
i",13733,18/18,Result Declared
Santhanuthalapadu (SC),107,VIJAY KUMAR B.N,Telugu Desami,NAGARJUNA MERUGU,"Yuvajana Sramika Rythu Congress Party
i",30385,20/20,Result Declared
