Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Gopalpur,132,BIBHUTI BHUSHAN JENA,Bharatiya Janata Partyi,BIKRAM KUMAR PANDA,"Biju Janata Dal
i",9062,16/16,Result Declared
Gunupur,138,SATYAJEET GOMANGO,Indian National Congressi,RAGHUNATH GOMANGO,"Biju Janata Dal
i",29885,21/21,Result Declared
Hindol,56,SIMARANI NAYAK,Bharatiya Janata Partyi,MAHESH SAHOO,"Biju Janata Dal
i",11827,27/27,Result Declared
Hinjili,131,NAVEEN PATNAIK,Biju Janata Dali,SISIR KUMAR MISHRA,"Bharatiya Janata Party
i",4636,18/18,Result Declared
Jagatsinghpur,104,AMARENDRA DAS,Bharatiya Janata Partyi,PRASANTA KUMAR MUDULI,"Biju Janata Dal
i",22138,22/22,Result Declared
Jajpur,52,SUJATA SAHU,Biju Janata Dali,GOUTAM RAY,"Bharatiya Janata Party
i",2564,22/22,Result Declared
Jaleswar,35,ASWINI KUMAR PATRA,Biju Janata Dali,BRAJAMOHAN PRADHAN,"Bharatiya Janata Party
i",319,22/22,Result Declared
Jashipur,26,GANESH RAM SINGKHUNTIA,Bharatiya Janata Partyi,CHAKRADHAR HEMBRAM,"Biju Janata Dal
i",34667,21/21,Result Declared
Jatani,115,BIBHUTI BHUSAN BALABANTARAY,Biju Janata Dali,BISWARANJAN BADAJENA,"Bharatiya Janata Party
i",25221,19/19,Result Declared
Jayadev,111,NABA KISHOR MALLICK,Biju Janata Dali,ARABINDA DHALI,"Bharatiya Janata Party
i",21473,20/20,Result Declared
Jeypore,143,TARA PRSADA BAHINIPATI,Indian National Congressi,INDIRA NANDA,"Biju Janata Dal
i",13111,24/24,Result Declared
Jharigam,74,NARSING BHATRA,Bharatiya Janata Partyi,RAMESH CHANDRA MAJHI,"Biju Janata Dal
i",3278,22/22,Result Declared
Jharsuguda,7,TANKADHAR TRIPATHY,Bharatiya Janata Partyi,DIPALI DAS,"Biju Janata Dal
i",1333,19/19,Result Declared
Junagarh,78,DIBYA SHANKAR MISHRA,Biju Janata Dali,MANOJ KUMAR MEHER,"Bharatiya Janata Party
i",1338,24/24,Result Declared
Kabisuryanagar,125,PRATAP CHANDRA NAYAK,Bharatiya Janata Partyi,LATIKA PRADHAN,"Biju Janata Dal
i",30173,21/21,Result Declared
Kakatpur,105,TUSHARKANTI BEHERA,Biju Janata Dali,BAIDHAR MALIK,"Bharatiya Janata Party
i",23151,28/28,Result Declared
